cd_avaliacao,cd_produto,cd_cliente,nr_nota,ds_comentario,dt_avaliacao
30,20,22,3,SUPEROU MINHAS EXPECTATIVAS,2024-09-18
31,24,37,1,PRODUTO DE QUALIDADE,2023-12-25
32,19,59,2,PRODUTO REGULAR NADA ESPECIAL,2022-11-26
33,46,69,3,PRODUTO DE QUALIDADE,2022-12-26
34,46,89,2,PRODUTO DE QUALIDADE,2023-05-03
35,8,6,3,PRODUTO REGULAR NADA ESPECIAL,2022-09-17
36,29,34,3,PRODUTO DE QUALIDADE,2023-02-25
37,36,91,1,QUALIDADE INFERIOR AO ESPERADO,2023-10-12
38,23,19,3,ATENDEU MINHAS NECESSIDADES,2022-11-29
39,35,39,1,SUPEROU O ESPERADO,2022-02-21
40,26,64,2,ATENDEU MINHAS NECESSIDADES,2023-10-18
41,10,1,5,PODERIA SER MELHOR,2023-11-10
42,42,91,3,ATENDEU MINHAS NECESSIDADES,2023-08-17
43,49,74,2,RECOMENDO A TODOS,2024-06-24
44,22,89,1,BOM PRODUTO POREM CARO,2024-09-07
45,3,18,5,CHEGOU RAPIDO E BEM EMBALADO,2023-09-23
46,2,52,5,COMPRA SEGURA E RAPIDA,2023-03-28
47,29,46,1,PRODUTO CONFORME DESCRICAO,2022-04-23
48,39,83,2,PRODUTO REGULAR NADA ESPECIAL,2024-12-14
49,15,99,3,SUPEROU MINHAS EXPECTATIVAS,2022-02-16
50,6,69,4,QUALIDADE INFERIOR AO ESPERADO,2022-06-28
51,33,51,2,ATENDEU MINHAS NECESSIDADES,2023-10-13
52,39,78,5,OTIMO PRODUTO RECOMENDO,2024-01-10
53,26,19,4,PRODUTO CONFORME DESCRICAO,2024-03-01
54,24,2,3,PRODUTO CONFORME DESCRICAO,2023-12-21
55,20,58,5,CHEGOU RAPIDO E BEM EMBALADO,2023-03-18
56,47,57,4,RECOMENDO A TODOS,2024-06-25
57,19,21,4,BOM PRODUTO POREM CARO,2024-04-28
58,9,76,5,CHEGOU RAPIDO E BEM EMBALADO,2022-10-22
59,14,39,4,COMPRA SEGURA E RAPIDA,2024-12-11
60,22,9,5,RECOMENDO A TODOS,2024-02-09
61,6,1,4,QUALIDADE INFERIOR AO ESPERADO,2023-07-14
62,27,23,5,ATENDEU MINHAS NECESSIDADES,2022-10-08
63,13,24,4,ENTREGA DENTRO DO PRAZO,2024-10-01
64,3,39,5,ENTREGA DENTRO DO PRAZO,2024-10-08
65,36,95,4,SUPEROU MINHAS EXPECTATIVAS,2022-02-24
66,1,20,3,ENTREGA DENTRO DO PRAZO,2024-08-25
67,8,84,3,MUITO BOM CUSTO BENEFICIO,2023-01-03
68,32,89,2,OTIMO PRODUTO RECOMENDO,2022-09-02
69,49,36,4,CHEGOU RAPIDO E BEM EMBALADO,2024-01-11
70,38,62,5,MUITO BOM CUSTO BENEFICIO,2023-06-13
71,41,88,4,BOM PRODUTO POREM CARO,2022-09-02
72,24,66,5,OTIMO PRODUTO RECOMENDO,2023-06-16
73,11,75,1,PRODUTO DE QUALIDADE,2023-10-17
74,30,89,2,PRODUTO CONFORME DESCRICAO,2022-12-01
75,4,35,3,MUITO BOM CUSTO BENEFICIO,2023-12-31
76,4,38,3,PODERIA SER MELHOR,2022-06-07
77,33,25,2,RECOMENDO A TODOS,2022-07-13
78,39,97,2,PODERIA SER MELHOR,2023-10-23
79,21,88,3,ENTREGA DENTRO DO PRAZO,2024-01-13
80,7,69,5,PRODUTO CONFORME DESCRICAO,2022-10-22
81,1,18,5,ENTREGA DENTRO DO PRAZO,2024-02-03
82,50,63,4,PRODUTO CONFORME DESCRICAO,2022-11-30
83,7,28,2,PODERIA SER MELHOR,2023-03-29
84,13,72,5,BOM PRODUTO POREM CARO,2024-12-12
85,35,92,5,BOM PRODUTO POREM CARO,2022-08-22
86,27,59,1,CHEGOU RAPIDO E BEM EMBALADO,2022-09-26
87,2,62,3,ENTREGA DENTRO DO PRAZO,2024-01-13
88,9,57,5,PODERIA SER MELHOR,2023-12-02
89,12,91,3,OTIMO PRODUTO RECOMENDO,2022-08-31
90,15,17,2,BOM PRODUTO POREM CARO,2023-04-10
91,20,17,2,PRODUTO DE QUALIDADE,2022-06-10
92,28,89,1,CHEGOU RAPIDO E BEM EMBALADO,2022-02-08
93,50,62,4,OTIMO PRODUTO RECOMENDO,2023-02-07
94,7,5,5,PRODUTO REGULAR NADA ESPECIAL,2022-05-02
95,31,16,3,OTIMO PRODUTO RECOMENDO,2022-05-16
96,20,86,1,RECOMENDO A TODOS,2022-07-17
97,8,78,2,PRODUTO REGULAR NADA ESPECIAL,2023-02-14
98,12,86,3,OTIMO PRODUTO RECOMENDO,2022-07-05
99,10,96,3,PRODUTO REGULAR NADA ESPECIAL,2023-12-14
100,23,21,5,RECOMENDO A TODOS,2023-05-11
101,33,73,1,CHEGOU RAPIDO E BEM EMBALADO,2022-01-29
102,34,28,2,ENTREGA DENTRO DO PRAZO,2022-12-18
103,49,69,1,BOM PRODUTO POREM CARO,2022-07-22
104,14,65,4,PRODUTO CONFORME DESCRICAO,2023-01-15
105,29,87,1,PRODUTO DE QUALIDADE,2023-12-28
106,25,55,2,PODERIA SER MELHOR,2023-04-12
107,27,15,3,CHEGOU RAPIDO E BEM EMBALADO,2024-08-12
108,8,67,2,ATENDEU MINHAS NECESSIDADES,2024-01-10
109,46,37,5,BOM PRODUTO POREM CARO,2022-03-25
110,6,42,4,CHEGOU RAPIDO E BEM EMBALADO,2024-02-28
111,19,59,5,BOM PRODUTO POREM CARO,2023-10-01
112,44,57,2,PODERIA SER MELHOR,2024-04-14
113,19,55,2,COMPRA SEGURA E RAPIDA,2022-05-23
114,31,87,3,PRODUTO DE QUALIDADE,2022-01-27
115,44,63,1,MUITO BOM CUSTO BENEFICIO,2024-06-16
116,34,85,1,CHEGOU RAPIDO E BEM EMBALADO,2022-10-21
117,26,52,5,CHEGOU RAPIDO E BEM EMBALADO,2022-12-12
118,5,47,2,PRODUTO CONFORME DESCRICAO,2023-02-15
119,39,52,1,SUPEROU MINHAS EXPECTATIVAS,2024-05-19
120,47,64,3,RECOMENDO A TODOS,2023-07-14
121,49,83,4,PRODUTO CONFORME DESCRICAO,2024-09-01
122,43,78,4,ATENDEU MINHAS NECESSIDADES,2024-11-13
123,18,19,4,CHEGOU RAPIDO E BEM EMBALADO,2022-09-08
124,17,63,4,SUPEROU MINHAS EXPECTATIVAS,2022-10-03
125,2,13,1,COMPRA SEGURA E RAPIDA,2022-05-20
126,32,87,1,PRODUTO DE QUALIDADE,2024-02-23
127,39,87,3,PRODUTO DE QUALIDADE,2023-09-13
128,40,80,1,RECOMENDO A TODOS,2022-06-06
129,43,97,5,RECOMENDO A TODOS,2024-10-05
130,30,26,3,QUALIDADE INFERIOR AO ESPERADO,2024-10-16
131,32,65,3,PODERIA SER MELHOR,2023-12-05
132,35,70,1,RECOMENDO A TODOS,2022-03-06
133,28,16,4,ATENDEU MINHAS NECESSIDADES,2023-10-07
134,25,57,4,OTIMO PRODUTO RECOMENDO,2022-03-09
135,12,72,3,SUPEROU O ESPERADO,2022-12-03
136,32,56,2,ENTREGA DENTRO DO PRAZO,2024-03-07
137,32,98,1,PRODUTO REGULAR NADA ESPECIAL,2024-10-01
138,43,71,5,PRODUTO REGULAR NADA ESPECIAL,2024-08-20
139,31,72,2,PODERIA SER MELHOR,2022-04-25
140,26,34,4,PRODUTO REGULAR NADA ESPECIAL,2024-02-13
141,40,87,3,RECOMENDO A TODOS,2023-08-06
142,21,8,1,PRODUTO REGULAR NADA ESPECIAL,2022-04-03
143,9,47,3,RECOMENDO A TODOS,2022-02-25
144,49,81,3,MUITO BOM CUSTO BENEFICIO,2022-07-19
145,28,45,3,MUITO BOM CUSTO BENEFICIO,2023-12-21
146,4,85,2,SUPEROU MINHAS EXPECTATIVAS,2023-04-26
147,42,40,5,CHEGOU RAPIDO E BEM EMBALADO,2022-05-15
148,20,15,3,PRODUTO DE QUALIDADE,2022-02-10
149,35,42,1,ATENDEU MINHAS NECESSIDADES,2024-05-15
150,37,66,4,ENTREGA DENTRO DO PRAZO,2022-02-11
151,45,61,5,OTIMO PRODUTO RECOMENDO,2023-10-11
152,25,74,4,PRODUTO CONFORME DESCRICAO,2022-07-20
153,32,13,2,PRODUTO CONFORME DESCRICAO,2024-10-14
154,33,98,3,PRODUTO DE QUALIDADE,2023-09-06
155,24,56,2,ATENDEU MINHAS NECESSIDADES,2022-06-04
156,35,28,3,ENTREGA DENTRO DO PRAZO,2022-04-08
157,20,74,4,RECOMENDO A TODOS,2023-04-08
158,40,96,1,BOM PRODUTO POREM CARO,2022-07-14
159,38,44,3,CHEGOU RAPIDO E BEM EMBALADO,2024-12-23
160,31,55,2,PRODUTO CONFORME DESCRICAO,2022-06-07
161,42,39,5,RECOMENDO A TODOS,2023-09-07
162,28,85,5,PRODUTO CONFORME DESCRICAO,2023-02-14
163,27,52,3,PRODUTO REGULAR NADA ESPECIAL,2024-11-21
164,30,86,5,PRODUTO DE QUALIDADE,2022-02-08
165,41,91,5,COMPRA SEGURA E RAPIDA,2023-01-18
166,37,64,2,QUALIDADE INFERIOR AO ESPERADO,2024-08-15
167,18,82,5,RECOMENDO A TODOS,2024-06-07
168,37,94,1,PODERIA SER MELHOR,2023-02-15
169,24,60,2,SUPEROU MINHAS EXPECTATIVAS,2022-11-05
170,48,88,3,COMPRA SEGURA E RAPIDA,2024-06-10
171,27,41,1,QUALIDADE INFERIOR AO ESPERADO,2023-02-21
172,27,35,3,QUALIDADE INFERIOR AO ESPERADO,2022-11-25
173,17,88,5,SUPEROU MINHAS EXPECTATIVAS,2024-04-11
174,16,15,2,SUPEROU MINHAS EXPECTATIVAS,2022-02-26
175,16,40,4,ATENDEU MINHAS NECESSIDADES,2024-06-12
176,28,83,1,SUPEROU MINHAS EXPECTATIVAS,2022-11-23
177,18,18,1,ENTREGA DENTRO DO PRAZO,2023-07-23
178,43,71,2,QUALIDADE INFERIOR AO ESPERADO,2022-03-28
179,47,63,1,OTIMO PRODUTO RECOMENDO,2022-06-21
180,21,78,3,COMPRA SEGURA E RAPIDA,2022-05-11
181,27,47,1,MUITO BOM CUSTO BENEFICIO,2022-10-15
182,16,15,5,BOM PRODUTO POREM CARO,2024-10-21
183,8,67,5,RECOMENDO A TODOS,2024-12-11
184,17,64,1,SUPEROU MINHAS EXPECTATIVAS,2022-09-08
185,50,41,3,COMPRA SEGURA E RAPIDA,2024-03-09
186,48,96,2,SUPEROU O ESPERADO,2024-05-16
187,14,19,1,PRODUTO DE QUALIDADE,2023-03-15
188,18,57,4,ENTREGA DENTRO DO PRAZO,2022-04-25
189,32,69,3,BOM PRODUTO POREM CARO,2022-08-20
190,21,70,4,ATENDEU MINHAS NECESSIDADES,2023-05-20
191,18,19,3,ATENDEU MINHAS NECESSIDADES,2024-01-24
192,20,3,5,OTIMO PRODUTO RECOMENDO,2022-04-22
193,45,86,2,ENTREGA DENTRO DO PRAZO,2024-02-27
194,20,82,3,SUPEROU O ESPERADO,2022-09-07
195,35,31,4,MUITO BOM CUSTO BENEFICIO,2022-01-17
196,26,33,3,CHEGOU RAPIDO E BEM EMBALADO,2023-04-28
197,20,27,2,SUPEROU O ESPERADO,2024-06-17
198,41,41,4,RECOMENDO A TODOS,2022-03-11
199,18,11,4,ATENDEU MINHAS NECESSIDADES,2024-04-25
200,22,92,4,SUPEROU O ESPERADO,2022-07-25
